Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,data_status,CBP Transfer Violation,HHS Discharge Violation,Anomaly Flag,Total System Load,Net Daily Intake,Care Load Growth Rate,Backlog Indicator,Discharge Offset Ratio,High Load Period,High Load Streak,7day Rolling Avg,14day Rolling Avg,Strain Window
2023-01-12,33,53,34,6566,436,Original,False,False,False,6619,-402,,-402,12.823529411764707,False,1,,,False
2023-01-13,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,,,False
2023-01-14,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,,,False
2023-01-15,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,,,False
2023-01-16,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,,,False
2023-01-17,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,,,False
2023-01-18,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,6619.0,,False
2023-01-19,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,6619.0,,False
2023-01-20,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,6619.0,,False
2023-01-21,0,53,0,6566,0,Imputed,False,False,False,6619,0,0.0,-402,,False,1,6619.0,,False
2023-01-22,32,49,39,7122,227,Original,False,False,False,7171,-188,8.339628342649942,-590,5.82051282051282,False,1,6697.857142857143,,False
2023-01-23,32,50,39,7280,181,Original,False,False,False,7330,-142,2.2172639799191263,-732,4.641025641025641,False,1,6799.428571428572,,False
2023-01-24,47,42,47,7433,175,Original,True,False,True,7475,-128,1.9781718963165051,-860,3.723404255319149,False,1,6921.714285714285,,False
2023-01-25,20,22,41,7538,180,Original,True,False,True,7560,-139,1.1371237458194017,-999,4.390243902439025,False,1,7056.142857142857,6837.571428571428,False
2023-01-26,0,22,0,7538,0,Imputed,False,False,False,7560,0,0.0,-999,,False,1,7190.571428571428,6904.785714285715,False
2023-01-27,0,22,0,7538,0,Imputed,False,False,False,7560,0,0.0,-999,,False,1,7325.0,6972.0,False
